ss,task,seed,K,ok,mean_cand,regret_B5,regret_B10,regret_B25,err
6767,31,4,3,1,3.0,0.18333333333333346,0.16666666666666685,0.16666666666666685,
6767,31,4,5,1,5.0,0.18333333333333346,0.16666666666666685,0.15000000000000013,
6767,31,4,13,1,13.0,0.18333333333333346,0.15833333333333344,0.15000000000000013,
6767,31,4,8,1,8.0,0.18333333333333346,0.16666666666666685,0.10000000000000009,
5906,9971,0,1,1,1.0,0.14705327594780482,0.14705327594780482,0.1176460501723281,
6767,31,4,20,1,20.0,0.18333333333333346,0.16666666666666685,0.13333333333333341,
6767,31,4,35,1,35.0,0.18333333333333346,0.15000000000000013,0.15000000000000013,
5906,9971,0,2,1,2.0,0.14705327594780482,0.14705327594780482,0.14705327594780482,
6767,31,4,50,1,50.0,0.18333333333333346,0.16666666666666685,0.16666666666666685,
5906,9971,0,3,1,3.0,0.14705327594780482,0.14705327594780482,0.08823882439685149,
5906,9971,0,5,1,5.0,0.14705327594780482,0.05881445155095133,0.02940722577547661,
5906,9971,0,8,1,8.0,0.14705327594780482,0.05881445155095133,0.05881445155095133,
5906,9971,0,20,1,20.0,0.14705327594780482,0.14705327594780482,0.02940722577547661,
5906,9971,0,13,1,13.0,0.14705327594780482,0.02940722577547661,0.02940722577547661,
5906,9971,0,35,1,35.0,0.14705327594780482,0.14705327594780482,0.1176460501723281,
5906,9971,0,50,1,50.0,0.14705327594780482,0.14705327594780482,0.05881445155095133,
5906,9971,1,1,1,1.0,0.08823882439685149,0.08823882439685149,0.08823882439685149,
5906,9971,1,2,1,2.0,0.08823882439685149,0.08823882439685149,0.02940722577547661,
5906,9971,1,3,1,3.0,0.08823882439685149,0.08823882439685149,0.0,
5906,9971,1,5,1,5.0,0.08823882439685149,0.0,0.0,
5906,9971,1,8,1,8.0,0.08823882439685149,0.05881445155095133,0.0,
5906,9971,1,13,1,13.0,0.08823882439685149,0.08823882439685149,0.08823882439685149,
5906,9971,1,35,1,35.0,0.08823882439685149,0.08823882439685149,0.02940722577547661,
5906,9971,1,20,1,20.0,0.08823882439685149,0.08823882439685149,0.02940722577547661,
5906,9971,1,50,1,50.0,0.08823882439685149,0.08823882439685149,0.05881445155095133,
5906,9971,2,1,1,1.0,0.14705327594780482,0.14705327594780482,0.1176460501723281,
5906,9971,2,2,1,2.0,0.14705327594780482,0.14705327594780482,0.05881445155095133,
5906,9971,2,3,1,3.0,0.14705327594780482,0.05881445155095133,0.05881445155095133,
5906,9971,2,5,1,5.0,0.14705327594780482,0.14705327594780482,0.05881445155095133,
5906,9971,2,8,1,8.0,0.14705327594780482,0.14705327594780482,0.05881445155095133,
5906,9971,2,13,1,13.0,0.14705327594780482,0.02940722577547661,0.0,
5906,9971,2,35,1,35.0,0.14705327594780482,0.02940722577547661,0.02940722577547661,
5906,9971,2,20,1,20.0,0.14705327594780482,0.05881445155095133,0.02940722577547661,
5906,9971,2,50,1,50.0,0.14705327594780482,0.02940722577547661,0.02940722577547661,
5906,9971,3,1,1,1.0,0.2352921003446563,0.05881445155095133,0.05881445155095133,
5906,9971,3,2,1,2.0,0.2352921003446563,0.05881445155095133,0.0,
5906,9971,3,3,1,3.0,0.2352921003446563,0.17647764879370298,0.02940722577547661,
5906,9971,3,5,1,5.0,0.2352921003446563,0.05881445155095133,0.02940722577547661,
5906,9971,3,8,1,8.0,0.2352921003446563,0.05881445155095133,0.05881445155095133,
5906,9971,3,13,1,13.0,0.2352921003446563,0.05881445155095133,0.02940722577547661,
5906,9971,3,20,1,20.0,0.2352921003446563,0.05881445155095133,0.05881445155095133,
5906,9971,3,35,1,35.0,0.2352921003446563,0.17647764879370298,0.02940722577547661,
5906,9971,3,50,1,50.0,0.2352921003446563,0.1176460501723281,0.02940722577547661,
5906,9971,4,1,1,1.0,0.14705327594780482,0.14705327594780482,0.02940722577547661,
5906,9971,4,2,1,2.0,0.14705327594780482,0.08823882439685149,0.02940722577547661,
5906,9971,4,5,1,5.0,0.14705327594780482,0.14705327594780482,0.05881445155095133,
5906,9971,4,3,1,3.0,0.14705327594780482,0.14705327594780482,0.08823882439685149,
5906,9971,4,8,1,8.0,0.14705327594780482,0.08823882439685149,0.08823882439685149,
5906,9971,4,13,1,13.0,0.14705327594780482,0.14705327594780482,0.05881445155095133,
5906,9971,4,20,1,20.0,0.14705327594780482,0.14705327594780482,0.05881445155095133,
5906,9971,4,35,1,35.0,0.14705327594780482,0.14705327594780482,0.08823882439685149,
5906,9971,4,50,1,50.0,0.14705327594780482,0.14705327594780482,0.02940722577547661,
5906,3918,0,1,1,1.0,0.21211815707228476,0.21211815707228476,0.21211815707228476,
5906,3918,0,2,1,2.0,0.21211815707228476,0.21211815707228476,0.1818059616224761,
5906,3918,0,3,1,3.0,0.21211815707228476,0.21211815707228476,0.21211815707228476,
5906,3918,0,5,1,5.0,0.21211815707228476,0.21211815707228476,0.09090298081123616,
5906,3918,0,8,1,8.0,0.21211815707228476,0.21211815707228476,0.1818059616224761,
5906,3918,0,20,1,20.0,0.21211815707228476,0.15152737171085728,0.15152737171085728,
5906,3918,0,13,1,13.0,0.21211815707228476,0.09090298081123616,0.09090298081123616,
