ss,task,seed,surrogate,mode,ok,regret,mean_cand,err
5965,9914,3,gp,adaptive,1,0.025766381482126954,1011.45,
5965,3903,0,tpe,full,1,0.08080329654715201,11521.5,
5965,9914,4,gp,restricted,1,0.0360679454241587,2000.0,
5965,9914,4,gp,full,1,0.030929635080193085,11305.5,
5965,3903,0,tpe,restricted,1,0.07069893746348976,2000.0,
5965,3903,0,tpe,adaptive,1,0.0909076556308126,1000.0,
5965,9914,4,gp,adaptive,1,0.0360679454241587,1003.1,
5965,3903,0,gp,full,1,0.04040164827357695,11521.5,
5965,3903,1,tpe,full,1,0.03029728918991459,11521.5,
5965,3903,0,gp,restricted,1,0.04040164827357695,2000.0,
5965,3903,1,tpe,restricted,1,0.10099622665340446,2000.0,
5965,3903,1,tpe,adaptive,1,0.020192930106254114,1000.0,
5965,3903,0,gp,adaptive,1,0.04040164827357695,1000.0,
5965,3903,2,tpe,full,1,0.10099622665340446,11521.5,
5965,3903,1,gp,restricted,1,0.020192930106254114,2000.0,
5965,3903,1,gp,full,1,0.020192930106254114,11521.5,
5965,3903,2,tpe,restricted,1,0.0909076556308126,2000.0,
5965,3903,2,tpe,adaptive,1,0.11110058573706671,1000.0,
5965,3903,1,gp,adaptive,1,0.03029728918991459,1000.0,
5965,3903,3,tpe,full,1,0.06059457837982929,11521.5,
5965,3903,2,gp,restricted,1,0.11110058573706671,2000.0,
5965,3903,2,gp,full,1,0.0909076556308126,11521.5,
5965,3903,3,tpe,restricted,1,0.0909076556308126,2000.0,
5965,3903,3,tpe,adaptive,1,0.050490219296168704,1000.0,
5965,3903,2,gp,adaptive,1,0.0909076556308126,1204.4,
5965,3903,3,gp,restricted,1,0.03029728918991459,2000.0,
5965,3903,4,tpe,full,1,0.06059457837982929,11521.5,
5965,3903,3,gp,full,1,0.0,11521.5,
5965,3903,4,tpe,adaptive,1,0.04040164827357695,1000.0,
5965,3903,4,tpe,restricted,1,0.06059457837982929,2000.0,
5965,3903,3,gp,adaptive,1,0.03029728918991459,1000.0,
5965,10101,0,tpe,full,1,0.12857036000128275,11633.5,
5965,10101,0,tpe,restricted,1,0.11428357714542181,2000.0,
5965,3903,4,gp,restricted,1,0.050490219296168704,2000.0,
5965,3903,4,gp,full,1,0.03029728918991459,11521.5,
5965,10101,0,tpe,adaptive,1,0.11428357714542181,1000.0,
5965,3903,4,gp,adaptive,1,0.04040164827357695,1000.0,
5965,10101,1,tpe,full,1,0.12857036000128275,11633.5,
5965,10101,0,gp,full,1,0.11428357714542181,11633.5,
5965,10101,1,tpe,restricted,1,0.11428357714542181,2000.0,
5965,10101,0,gp,restricted,1,0.18571749142472527,2000.0,
5965,10101,1,tpe,adaptive,1,0.11428357714542181,1000.0,
5965,10101,0,gp,adaptive,1,0.11428357714542181,1000.0,
5965,10101,2,tpe,full,1,0.08571001143370116,11633.5,
5965,10101,1,gp,restricted,1,0.08571001143370116,2000.0,
5965,10101,2,tpe,restricted,1,0.08571001143370116,2000.0,
5965,10101,1,gp,full,1,0.09999679428956088,11633.5,
5965,10101,2,tpe,adaptive,1,0.08571001143370116,1000.0,
5965,10101,1,gp,adaptive,1,0.08571001143370116,1084.5,
5965,10101,3,tpe,full,1,0.09999679428956088,11633.5,
5965,10101,2,gp,restricted,1,0.08571001143370116,2000.0,
5965,10101,2,gp,full,1,0.08571001143370116,11633.5,
5965,10101,3,tpe,restricted,1,0.12857036000128275,2000.0,
5965,10101,3,tpe,adaptive,1,0.12857036000128275,1000.0,
5965,10101,2,gp,adaptive,1,0.08571001143370116,1056.85,
5965,10101,4,tpe,full,1,0.1571439257130034,11633.5,
5965,10101,3,gp,restricted,1,0.11428357714542181,2000.0,
5965,10101,3,gp,full,1,0.09999679428956088,11633.5,
5965,10101,4,tpe,restricted,1,0.14285714285714257,2000.0,
5965,10101,4,tpe,adaptive,1,0.08571001143370116,1000.0,
5965,10101,3,gp,adaptive,1,0.08571001143370116,1276.55,
5965,10101,4,gp,restricted,1,0.08571001143370116,2000.0,
5965,9889,0,tpe,full,1,0.015545080734127859,12304.5,
5965,10101,4,gp,full,1,0.12857036000128275,11633.5,
5965,9889,0,tpe,restricted,1,0.03109016146825838,2000.0,
5965,9889,0,tpe,adaptive,1,0.04663524220238624,1000.0,
5965,10101,4,gp,adaptive,1,0.12857036000128275,1000.0,
5965,9889,0,gp,full,1,0.02073513188245968,12304.5,
5965,9889,1,tpe,full,1,0.036280212616587426,12304.5,
5965,9889,0,gp,restricted,1,0.0,2000.0,
5965,9889,1,tpe,restricted,1,0.02073513188245968,2000.0,
5965,9889,1,tpe,adaptive,1,0.02590011031992656,1000.0,
5965,9889,0,gp,adaptive,1,0.03109016146825838,1002.2,
5965,9889,2,tpe,full,1,0.010355029585798703,12304.5,
5965,9889,1,gp,full,1,0.02590011031992656,12304.5,
5965,9889,1,gp,restricted,1,0.036280212616587426,2000.0,
5965,9889,2,tpe,restricted,1,0.03109016146825838,2000.0,
5965,9889,1,gp,adaptive,1,0.015545080734127859,1024.2,
5965,9889,2,tpe,adaptive,1,0.02073513188245968,1000.0,
5965,9889,3,tpe,full,1,0.03109016146825838,12304.5,
5965,9889,2,gp,restricted,1,0.02073513188245968,2000.0,
5965,9889,2,gp,full,1,0.02073513188245968,12304.5,
5965,9889,3,tpe,restricted,1,0.051825293350715285,2000.0,
5965,9889,3,tpe,adaptive,1,0.03109016146825838,1000.0,
5965,9889,2,gp,adaptive,1,0.015545080734127859,1294.1,
5965,9889,4,tpe,full,1,0.02590011031992656,12304.5,
5965,9889,3,gp,restricted,1,0.015545080734127859,2000.0,
5965,9889,3,gp,full,1,0.005190051148329045,12304.5,
5965,9889,4,tpe,restricted,1,0.02590011031992656,2000.0,
5965,9889,4,tpe,adaptive,1,0.03109016146825838,1000.0,
5965,9889,3,gp,adaptive,1,0.010355029585798703,1092.45,
5965,49,0,tpe,full,1,0.00305856985492281,12391.5,
5965,49,0,tpe,restricted,1,0.018348489464926065,2000.0,
5965,9889,4,gp,restricted,1,0.03109016146825838,2000.0,
5965,9889,4,gp,full,1,0.02073513188245968,12304.5,
5965,49,0,tpe,adaptive,1,0.00305856985492281,1000.0,
5965,9889,4,gp,adaptive,1,0.03109016146825838,1160.1,
5965,49,1,tpe,full,1,0.0061171397098459535,12391.5,
5965,49,0,gp,restricted,1,0.09480101717955336,2000.0,
5965,49,1,tpe,restricted,1,0.00305856985492281,2000.0,
5965,49,1,tpe,adaptive,1,0.00305856985492281,1000.0,
5965,49,0,gp,full,1,0.09174244732463022,12391.5,
5965,49,0,gp,adaptive,1,0.08868387746970707,1014.9,
