ss,task,seed,surrogate,mode,ok,regret,mean_cand,over_pred,err
6794,9914,3,tpe,full,1,0.033150648309050124,69185.5,,
6794,9914,2,gp,restricted,1,0.022109343670632886,2000.0,,
6794,9914,3,tpe,restricted,1,0.038684667825159336,2000.0,,
6794,9914,2,gp,full,1,0.022109343670632886,69185.5,-0.015079370375932516,
6794,9914,4,tpe,full,1,0.027616628792943798,69185.5,,
6794,9914,4,tpe,restricted,1,0.033150648309050124,2000.0,,
6794,9914,3,gp,restricted,1,0.027616628792943798,2000.0,,
6794,9914,3,gp,full,1,0.027616628792943798,69185.5,-0.00834524283866594,
6794,9914,4,gp,restricted,1,0.033150648309050124,2000.0,,
6794,31,0,tpe,full,1,0.0625,102291.5,,
6794,31,0,tpe,restricted,1,0.0625,2000.0,,
6794,9914,4,gp,full,1,0.027616628792943798,69185.5,0.022037586717877488,
6794,31,0,gp,restricted,1,0.0625,2000.0,,
6794,31,1,tpe,full,1,0.0625,102291.5,,
6794,31,1,tpe,restricted,1,0.08125000000000004,2000.0,,
6794,31,0,gp,full,1,0.050000000000000044,102291.5,-0.003267741957998377,
6794,31,1,gp,restricted,1,0.08125000000000004,2000.0,,
6794,31,1,gp,full,1,0.050000000000000044,102291.5,-0.018612106419331614,
6794,31,2,tpe,full,1,0.04375000000000007,102291.5,,
6794,31,2,tpe,restricted,1,0.04375000000000007,2000.0,,
6794,31,2,gp,restricted,1,0.04375000000000007,2000.0,,
6794,31,3,tpe,restricted,1,0.06875000000000009,2000.0,,
6794,31,3,tpe,full,1,0.06875000000000009,102291.5,,
6794,31,2,gp,full,1,0.04375000000000007,102291.5,0.07846182883138997,
6794,31,4,tpe,full,1,0.0625,102291.5,,
6794,31,4,tpe,restricted,1,0.07500000000000007,2000.0,,
6794,31,3,gp,restricted,1,0.06875000000000009,2000.0,,
7607,14965,0,tpe,full,1,0.024570317151591192,632.5,,
7607,14965,0,tpe,restricted,1,0.0236970587067864,632.5,,
7607,14965,0,gp,full,1,0.014051522248242132,632.5,-0.12822059174250247,
