ss,task,seed,K,regret,mean_cand
6767,31,0,2000,0.11666666666666681,2000.0
6767,31,0,4000,0.11666666666666681,4000.0
6767,31,0,8000,0.13333333333333341,8000.0
6767,31,0,16000,0.10833333333333339,16000.0
6767,31,0,full,0.15833333333333344,68233.5
6767,31,1,50,0.11666666666666681,50.0
6767,31,1,100,0.1250000000000001,100.0
6767,31,1,250,0.13333333333333341,250.0
6767,31,1,500,0.16666666666666685,500.0
6767,31,1,1000,0.1250000000000001,1000.0
6767,31,1,2000,0.13333333333333341,2000.0
6767,31,1,4000,0.16666666666666685,4000.0
6767,31,1,8000,0.10000000000000009,8000.0
6767,31,1,16000,0.13333333333333341,16000.0
6767,31,1,full,0.14166666666666683,68233.5
6767,31,2,50,0.14166666666666683,50.0
6767,31,2,100,0.15000000000000013,100.0
6767,31,2,250,0.15000000000000013,250.0
6767,31,2,500,0.15833333333333344,500.0
6767,31,2,1000,0.14166666666666683,1000.0
6767,31,2,2000,0.14166666666666683,2000.0
6767,31,2,4000,0.13333333333333341,4000.0
6767,31,2,8000,0.14166666666666683,8000.0
6767,31,2,16000,0.1250000000000001,16000.0
6767,31,2,full,0.13333333333333341,68233.5
6767,31,3,50,0.10000000000000009,50.0
6767,31,3,100,0.14166666666666683,100.0
6767,31,3,250,0.14166666666666683,250.0
6767,31,3,500,0.15833333333333344,500.0
6767,31,3,1000,0.11666666666666681,1000.0
6767,31,3,2000,0.08333333333333337,2000.0
6767,31,3,4000,0.13333333333333341,4000.0
6767,31,3,8000,0.28333333333333355,8000.0
6767,31,3,16000,0.19166666666666687,16000.0
6767,31,3,full,0.14166666666666683,68233.5
6767,31,4,50,0.16666666666666685,50.0
6767,31,4,100,0.1250000000000001,100.0
6767,31,4,250,0.1250000000000001,250.0
6767,31,4,500,0.11666666666666681,500.0
6767,31,4,1000,0.16666666666666685,1000.0
6767,31,4,2000,0.11666666666666681,2000.0
6767,31,4,4000,0.15000000000000013,4000.0
6767,31,4,8000,0.10833333333333339,8000.0
6767,31,4,16000,0.15000000000000013,16000.0
6767,31,4,full,0.09166666666666679,68233.5
5906,9971,0,50,0.05881445155095133,50.0
5906,9971,0,100,0.08823882439685149,100.0
5906,9971,0,250,0.05881445155095133,239.5
5906,9971,0,500,0.05881445155095133,239.5
5906,9971,0,1000,0.05881445155095133,239.5
5906,9971,0,2000,0.05881445155095133,239.5
5906,9971,0,4000,0.05881445155095133,239.5
5906,9971,0,8000,0.05881445155095133,239.5
5906,9971,0,16000,0.05881445155095133,239.5
5906,9971,0,full,0.05881445155095133,239.5
5906,9971,1,50,0.05881445155095133,50.0
5906,9971,1,100,0.08823882439685149,100.0
5906,9971,1,250,0.0,239.5
5906,9971,1,500,0.0,239.5
5906,9971,1,1000,0.0,239.5
5906,9971,1,2000,0.0,239.5
5906,9971,1,4000,0.0,239.5
5906,9971,1,8000,0.0,239.5
5906,9971,1,16000,0.0,239.5
5906,9971,1,full,0.0,239.5
5906,9971,2,50,0.02940722577547661,50.0
5906,9971,2,100,0.02940722577547661,100.0
5906,9971,2,250,0.02940722577547661,239.5
5906,9971,2,500,0.02940722577547661,239.5
5906,9971,2,1000,0.02940722577547661,239.5
5906,9971,2,2000,0.02940722577547661,239.5
5906,9971,2,4000,0.02940722577547661,239.5
5906,9971,2,8000,0.02940722577547661,239.5
5906,9971,2,16000,0.02940722577547661,239.5
5906,9971,2,full,0.02940722577547661,239.5
5906,9971,3,50,0.02940722577547661,50.0
5906,9971,3,100,0.08823882439685149,100.0
5906,9971,3,250,0.08823882439685149,239.5
5906,9971,3,500,0.08823882439685149,239.5
5906,9971,3,1000,0.08823882439685149,239.5
5906,9971,3,2000,0.08823882439685149,239.5
5906,9971,3,4000,0.08823882439685149,239.5
5906,9971,3,8000,0.08823882439685149,239.5
5906,9971,3,16000,0.08823882439685149,239.5
